SW,Smurfit Westrock Plc,22.69B,43.32,1.48%,31.24B
NI,NiSource Inc.,22.63B,47.21,1.27%,6.82B
DGX,Quest Diagnostics Incorporated,22.48B,203.06,-0.38%,11.28B
FFIV,"F5, Inc.",22.35B,396.16,0.59%,3.22B
L,Loews Corporation,22.25B,108.12,0.70%,18.52B
LEN,Lennar Corporation,22.24B,90.30,-4.90%,32.74B
LUV,Southwest Airlines Co.,22.22B,45.47,2.66%,28.88B
DLTR,"Dollar Tree, Inc.",21.91B,114.00,-0.77%,19.75B
OMC,Omnicom Group Inc.,21.85B,76.68,1.44%,19.82B
LH,Labcorp Holdings Inc.,21.83B,266.16,0.34%,14.14B
EXPD,"Expeditors International of Washington, Inc.",21.79B,166.62,0.11%,11.19B
SBAC,SBA Communications Corporation,21.72B,204.79,0.56%,2.85B
INCY,Incyte Corporation,21.68B,108.53,0.65%,5.36B
EXE,Expand Energy Corporation,21.24B,88.78,1.95%,12.96B
LYB,LyondellBasell Industries N.V.,20.85B,64.58,1.75%,29.67B
VLTO,Veralto Corporation,20.47B,83.36,0.87%,5.59B
BRO,"Brown & Brown, Inc.",20.33B,59.99,0.07%,6.26B
FIS,"Fidelity National Information Services, Inc.",20.26B,39.20,2.22%,11.44B
STE,STERIS plc,20.23B,207.56,0.16%,5.94B
TSN,"Tyson Foods, Inc.",20.22B,57.43,3.22%,55.71B
PKG,Packaging Corporation of America,20.21B,228.23,1.71%,9.22B
CHTR,"Charter Communications, Inc.",20.20B,145.82,4.80%,54.64B
ULTA,"Ulta Beauty, Inc.",20.11B,467.74,-1.82%,12.71B
